,dates,rank,book_name,author,genre,hour,minute
8,2019-11-25,9,부의 인문학,브라운스톤,재테크/금융/부동산,17,0
9,2019-11-25,10,일의 기쁨과 슬픔,장류진,한국소설,17,0
10,2019-11-25,11,트렌드 코리아 2020,김난도,마케팅/세일즈,17,0
11,2019-11-25,12,죽여 마땅한 사람들,피터 스완슨,영미소설,17,0
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,17,20
1,2019-11-25,2,제왕업,메이위저/zipcy,중국 소설,17,20
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,17,20
3,2019-11-25,4,90년생이 온다,임홍택,경제일반,17,20
4,2019-11-25,5,트렌드 코리아 2020,김난도,마케팅/세일즈,17,20
5,2019-11-25,6,죽여 마땅한 사람들,피터 스완슨,영미소설,17,20
6,2019-11-25,7,일의 기쁨과 슬픔,장류진,한국소설,17,20
7,2019-11-25,8,미움받을 용기,기시미 이치로/고가 후미타케,인간관계,17,20
8,2019-11-25,9,테메레르,나오미 노빅,영미소설,17,20
9,2019-11-25,10,에이트,이지성,성공/삶의자세,17,20
10,2019-11-25,11,매일 아침 써봤니?,김민식,성공/삶의자세,17,20
11,2019-11-25,12,12가지 인생의 법칙,조던 B. 피터슨,인문,17,20
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,17,40
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,17,40
2,2019-11-25,3,해리 포터 시리즈,조앤.K.롤링,영미소설,17,40
3,2019-11-25,4,당신이 화내는 진짜 이유,EBS 〈당신이 화내는 진짜 이유〉 제작팀,성공/삶의자세,17,40
4,2019-11-25,5,트렌드 코리아 2020,김난도,마케팅/세일즈,17,40
5,2019-11-25,6,일의 기쁨과 슬픔,장류진,한국소설,17,40
6,2019-11-25,7,테메레르,나오미 노빅,영미소설,17,40
7,2019-11-25,8,2019년 가을 장로들과 책임 형제들을 위한 국제 훈련,워치만 니/위트니스 리,종교일반,17,40
8,2019-11-25,9,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,17,40
9,2019-11-25,10,넛지 Nudge,리처드 H. 탈러/카스 R. 선스타인,경제일반,17,40
10,2019-11-25,11,제왕업,메이위저/zipcy,중국 소설,17,40
11,2019-11-25,12,드래곤 라자,이영도,국내 판타지 소설,17,40
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,18,0
1,2019-11-25,2,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,18,0
2,2019-11-25,3,가재가 노래하는 곳,델리아 오언스,영미소설,18,0
3,2019-11-25,4,해리 포터 시리즈,조앤.K.롤링,영미소설,18,0
4,2019-11-25,5,죽여 마땅한 사람들,피터 스완슨,영미소설,18,0
5,2019-11-25,6,테메레르,나오미 노빅,영미소설,18,0
6,2019-11-25,7,나는 농담으로 과학을 말한다,오후,과학일반,18,0
7,2019-11-25,8,하기 싫은 일을 하는 힘,홍주현,성공/삶의자세,18,0
8,2019-11-25,9,딥러닝 레볼루션,테런스 J. 세즈노스키,경영일반,18,0
9,2019-11-25,10,트렌드 코리아 2020,김난도,마케팅/세일즈,18,0
10,2019-11-25,11,앞으로 3년 경제전쟁의 미래,오건영,경영일반,18,0
11,2019-11-25,12,에이머스 데커 시리즈,데이비드 발다치,영미소설,18,0
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,18,20
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,18,20
2,2019-11-25,3,일의 기쁨과 슬픔,장류진,한국소설,18,20
3,2019-11-25,4,해리 포터 시리즈,조앤.K.롤링,영미소설,18,20
4,2019-11-25,5,제왕업,메이위저/zipcy,중국 소설,18,20
5,2019-11-25,6,트렌드 코리아 2020,김난도,마케팅/세일즈,18,20
6,2019-11-25,7,나는 농담으로 과학을 말한다,오후,과학일반,18,20
7,2019-11-25,8,죽여 마땅한 사람들,피터 스완슨,영미소설,18,20
8,2019-11-25,9,밀레니얼 이코노미,홍춘욱/박종훈,경제일반,18,20
9,2019-11-25,10,아주 작은 반복의 힘,로버트 마우어,성공/삶의자세,18,20
10,2019-11-25,11,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,18,20
11,2019-11-25,12,포노 사피엔스,최재붕,경영일반,18,20
0,2019-11-25,1,90년생이 온다,임홍택,경제일반,18,40
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,18,40
2,2019-11-25,3,일의 기쁨과 슬픔,장류진,한국소설,18,40
3,2019-11-25,4,해리 포터 시리즈,조앤.K.롤링,영미소설,18,40
4,2019-11-25,5,죽여 마땅한 사람들,피터 스완슨,영미소설,18,40
5,2019-11-25,6,트렌드 코리아 2020,김난도,마케팅/세일즈,18,40
6,2019-11-25,7,당신이 화내는 진짜 이유,EBS 〈당신이 화내는 진짜 이유〉 제작팀,성공/삶의자세,18,40
